Mining_date,Job_Title,Company,location,Posting_date,Description,Sector
2023-08-29,Metal Finisher,"Creative Architectural Metals, Inc","BENSALEM, PA",30+ days ago,Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Aircraft Painters,STS Technical Services,"Oscoda, MI",8 days ago,Actively Hiring,maintenance-jobs
2023-08-29,Automotive Painter,Constellis,"Los Angeles, CA",20 days ago,Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Aircraft Coating,PlanIT Group,"Courtland, AL",2 days ago,Actively Hiring,maintenance-jobs
2023-08-29,Airframes Mechanic I,"ACET, Inc.","California, MD",20 days ago,Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Automotive Painter,"Altec Industries, Inc.","St Joseph, MO",Today,Actively Hiring,maintenance-jobs
2023-08-29,Finish Carpenter,"CHILD BROTHERS, INC.","TEQUESTA, FL",11 days ago,$26–$30                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Carpenters Associate,Micro Tech,"Littleton, MA",18 days ago,$25                                             Actively Hiring,maintenance-jobs
2023-08-29,Truck Body Painter,All American Truck & Auto Body,"FONTANA, CA",17 days ago,Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Metal Finisher,"Creative Architectural Metals, Inc","BENSALEM, PA",30+ days ago,Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Aircraft Painters,STS Technical Services,"Oscoda, MI",8 days ago,Actively Hiring,maintenance-jobs
2023-08-29,Automotive Painter,Constellis,"Los Angeles, CA",20 days ago,Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Aircraft Coating,PlanIT Group,"Courtland, AL",2 days ago,Actively Hiring,maintenance-jobs
2023-08-29,Airframes Mechanic I,"ACET, Inc.","California, MD",20 days ago,Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Automotive Painter,"Altec Industries, Inc.","St Joseph, MO",Today,Actively Hiring,maintenance-jobs
2023-08-29,Finish Carpenter,"CHILD BROTHERS, INC.","TEQUESTA, FL",11 days ago,$26–$30                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Carpenters Associate,Micro Tech,"Littleton, MA",18 days ago,$25                                             Actively Hiring,maintenance-jobs
2023-08-29,Truck Body Painter,All American Truck & Auto Body,"FONTANA, CA",17 days ago,Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Metal Finisher,"Creative Architectural Metals, Inc","BENSALEM, PA",30+ days ago,Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Aircraft Painters,STS Technical Services,"Oscoda, MI",8 days ago,Actively Hiring,maintenance-jobs
2023-08-29,Automotive Painter,Constellis,"Los Angeles, CA",20 days ago,Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Aircraft Interior Finishers,West Star Aviation,"Chattanooga, TN",10 days ago,Actively Hiring,maintenance-jobs
2023-08-29,Aircraft Coating,PlanIT Group,"Courtland, AL",2 days ago,Actively Hiring,maintenance-jobs
2023-08-29,Airframes Mechanic I,"ACET, Inc.","California, MD",20 days ago,Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Automotive Painter,"Altec Industries, Inc.","St Joseph, MO",Today,Actively Hiring,maintenance-jobs
2023-08-29,Finish Carpenter,"CHILD BROTHERS, INC.","TEQUESTA, FL",11 days ago,$26–$30                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Truck Body Painter,All American Truck & Auto Body,"FONTANA, CA",17 days ago,Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Metal Finisher,"Creative Architectural Metals, Inc","BENSALEM, PA",30+ days ago,Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Aircraft Painters,STS Technical Services,"Oscoda, MI",8 days ago,Actively Hiring,maintenance-jobs
2023-08-29,Automotive Painter,Constellis,"Los Angeles, CA",20 days ago,Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Aircraft Coating,PlanIT Group,"Courtland, AL",2 days ago,Actively Hiring,maintenance-jobs
2023-08-29,Airframes Mechanic I,"ACET, Inc.","California, MD",20 days ago,Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Automotive Painter,"Altec Industries, Inc.","St Joseph, MO",Today,Actively Hiring,maintenance-jobs
2023-08-29,Finish Carpenter,"CHILD BROTHERS, INC.","TEQUESTA, FL",11 days ago,$26–$30                                              Per Hour                                             Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Carpenters Associate,Micro Tech,"Littleton, MA",18 days ago,$25                                             Actively Hiring,maintenance-jobs
2023-08-29,Decorative Painter - 1308,BOEING,"Seattle, WA",1 day ago,Actively Hiring,maintenance-jobs
2023-08-29,Truck Body Painter,All American Truck & Auto Body,"FONTANA, CA",17 days ago,Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Metal Finisher,"Creative Architectural Metals, Inc","BENSALEM, PA",30+ days ago,Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Aircraft Painters,STS Technical Services,"Oscoda, MI",8 days ago,Actively Hiring,maintenance-jobs
2023-08-29,Automotive Painter,Constellis,"Los Angeles, CA",20 days ago,Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Aircraft Coating,PlanIT Group,"Courtland, AL",2 days ago,Actively Hiring,maintenance-jobs
2023-08-29,Airframes Mechanic I,"ACET, Inc.","California, MD",20 days ago,Full-time                                             Employee                                             Actively Hiring,maintenance-jobs
2023-08-29,Automotive Painter,"Altec Industries, Inc.","St Joseph, MO",Today,Actively Hiring,maintenance-jobs
2023-08-29,Aircraft Interior Finishers,West Star Aviation,"Chattanooga, TN",10 days ago,Actively Hiring,maintenance-jobs
